tmdb_id,title,release_date,year,overview,vote_average,vote_count,popularity,poster_path
1084242,Zootopia 2,2025-11-26,2025,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De’Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",7.7,340,512.6445,/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg
533533,TRON: Ares,2025-10-08,2025,"A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings.",6.485,535,458.1744,/chpWmskl3aKm1aTZqUHRCtviwPy.jpg
1180831,Troll 2,2025-11-30,2025,"When a dangerous new troll unleashes devastation across their homeland, Nora, Andreas and Major Kris embark on their most perilous mission yet.",6.968,126,450.8549,/p6xAExLNFbHcLfvSuvLPoM8aqZU.jpg
1419406,The Shadow's Edge,2025-08-16,2025,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,6.419,135,228.8981,/e0RU6KpdnrqFxDKlI3NOqN8nHL6.jpg
1246049,Dracula,2025-07-30,2025,"When a 15th-century prince denounces God after the devastating loss of his wife, he inherits an eternal curse: he becomes Dracula. Condemned to wander the centuries, he defies fate and death itself, guided by a single hope — to be reunited with his lost love.",7.094,518,248.9951,/ykyRfv7JDofLxXLAwtLXaSuaFfM.jpg
1033462,Bureau 749,2024-10-01,2024,A traumatized young man with physical abnormalities is forced to join a mysterious bureau to confront a disaster spreading across the earth caused by an unknown creature. He embarks on an adventure uncovering mysteries about his life.,6.0,50,201.7229,/flykCMw22y6yv8vKnBjmsW3pneo.jpg
1242898,Predator: Badlands,2025-11-05,2025,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",7.4,544,190.6551,/ef2QSeBkrYhAdfsWGXmp0lvH0T1.jpg
1363123,The Family Plan 2,2025-11-11,2025,"Now that Dan's assassin days are behind him, all he wants for Christmas is quality time with his kids. But when he learns his daughter has her own plans, he books a family trip to London—putting them all in the crosshairs of an unexpected enemy.",6.7,293,137.5241,/semFxuYx6HcrkZzslgAkBqfJvZk.jpg
1196573,She Rides Shotgun,2025-07-31,2025,"Newly released from prison and marked for death by unrelenting enemies, Nate must now protect his estranged 11-year-old daughter, Polly, at all costs. With scant resources and no one to trust, Nate and Polly forge a bond under fire as he shows her how to fight and survive—and she teaches him the true meaning of unconditional love.",7.107,127,125.584,/nvqW8mOm818QDio3GKKmPLK8kXj.jpg
967941,Wicked: For Good,2025-11-19,2025,"As an angry mob rises against the Wicked Witch, Glinda and Elphaba will need to come together one final time. With their singular friendship now the fulcrum of their futures, they will need to truly see each other, with honesty and empathy, if they are to change themselves, and all of Oz, for good.",6.7,366,142.4678,/si9tolnefLSUKaqQEGz1bWArOaL.jpg
269149,Zootopia,2016-02-11,2016,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",7.8,17191,125.4079,/hlK0e0wAQ3VLuJcsfIYPvb4JVud.jpg
1062722,Frankenstein,2025-10-17,2025,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.",7.8,2054,131.3434,/g4JtvGlQO7DByTI6frUobqvSL3R.jpg
701387,Bugonia,2025-10-23,2025,"Two conspiracy obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.",7.5,619,102.5122,/oxgsAQDAAxA92mFGYCZllgWkH9J.jpg
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,2025,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",7.604,586,106.1311,/fWVSwgjpT2D78VUh6X8UBd2rorW.jpg
1116465,A Legend,2024-07-05,2024,An archeologist noticed that the texture of the relics discovered during the excavation of a glacier closely resembled a jade pendant seen in one of his dreams. He and his team then embark on an expedition into the depths of the glacier.,6.874,119,94.6991,/qbImUt1d3itXcB81BCItPZlfbyr.jpg
425274,Now You See Me: Now You Don't,2025-11-12,2025,"The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet.",6.342,323,92.6361,/oD3Eey4e4Z259XLm3eD3WGcoJAh.jpg
1054867,One Battle After Another,2025-09-23,2025,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",7.499,1753,91.6255,/m1jFoahEbeQXtx4zArT2FKdbNIj.jpg
803796,KPop Demon Hunters,2025-06-20,2025,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",8.2,1989,85.0099,/zT7Lhw3BhJbMkRqm9Zlx2YGMsY0.jpg
